ID,URL,TITLE
1,https://www.researchgate.net/publication/325325350_Computer-Aided_Diagnosis_Psoriasis_Lesion_Using_Skin_Color_and_Texture_Features,Computer-Aided Diagnosis Psoriasis Lesion Using Skin Color and Texture Features
2,https://ieeexplore.ieee.org/document/8674183,A Computer-aided diagnosis system for classifying prominent skin lesions using machine learning
3,https://ieeexplore.ieee.org/document/8689140,A Fuzzy Expert System Design for Diagnosis of Skin Diseases
4,https://ieeexplore.ieee.org/document/8453316,A Novel Approach for Automatic Identification of Psoriasis Affected Skin Area
5,https://ieeexplore.ieee.org/document/9155914,Advanced Skin Diseases Diagnosis Leveraging Image Processing
6,https://ieeexplore.ieee.org/document/8934560,An Automated Dermatological Images Segmentation Based on a New Hybrid Intelligent ACO-GA Algorithm and Diseases Identification Using TSVM Classifier
7,https://ieeexplore.ieee.org/document/8689140,An automated detection of Scabies skin disease Using Image Processing and CNN
8,https://ieeexplore.ieee.org/document/8689140,An Intelligent Approach to Segmentation and Classification of Common Skin Diseases in Sri Lanka
9,https://ieeexplore.ieee.org/document/8689140,Analysis and Diagnosis of Erythemato-Squamous Diseases using CHAID Decision Trees
10,https://ieeexplore.ieee.org/document/8689140,Automated Detection of skin and nail disorders using Convolutional Neural Networks
11,https://ieeexplore.ieee.org/document/8689140,Automatic Scale Severity Assessment Method in Psoriasis Skin Images Using Local Descriptors
12,https://ieeexplore.ieee.org/document/8689140,Categorization of Integumentary System Disorders using Deep Learning
13,https://ieeexplore.ieee.org/document/8689140,Comparison of Psoriasis Disease Detection and Classification Through Various Image Processing Techniques - A Review
14,https://ieeexplore.ieee.org/document/8689140,Contrast Enhancement for Color Dermoscopy Images using Equalization based on Luminosit
15,https://ieeexplore.ieee.org/document/8689140,CURETO: Skin Diseases Detection Using Image Processing And CNN
16,https://ieeexplore.ieee.org/document/8689140,Deep Learning based Multiple Skin Disease Classification in Indian Territory
18,https://ieeexplore.ieee.org/document/8689140,DermaDetect: A novel computer vision model for an accurate diagnosis of skin conditions and rashes
19,https://ieeexplore.ieee.org/document/8689140,Dermatitis Diagnosis – Modeling and Analysis using Machine Learning
20,https://ieeexplore.ieee.org/document/8689140,Dermatological Disease Detection Employing Transfer Learning
21,https://ieeexplore.ieee.org/document/8689140,Detection of Common Types of Eczema Using Gray Level Co-occurrence Matrix and Support Vector Machine
22,https://ieeexplore.ieee.org/document/8689140,Differential Diagnosis of Ringworm and Eczema Using Image Processing and Deep Learning
23,https://ieeexplore.ieee.org/document/8689140,Eczema&comma& Hives and Psoriasis Detection with the Application of Local Binary Pattern&comma& Color Histogram&comma& SVM and RGB-HSV Color Space
24,https://ieeexplore.ieee.org/document/8689140,Enhanced Deep Learning Approach for Accurate Eczema and Psoriasis Skin Detection
